####################
Server enviorment local
Database connection  local
####################
12:02:56 [32mGET[39m /
12:02:56 [32mGET[39m /styles.css
12:02:56 [32mGET[39m /script/clientEvents.mjs
12:02:56 [32mGET[39m /script/admin.mjs
12:02:56 [32mGET[39m /media/england.png
12:02:56 [32mGET[39m /media/norway.png
12:02:56 [32mGET[39m /media/spain.png
12:02:56 [32mGET[39m /script/clientRequests.mjs
12:02:56 [32mGET[39m /script/functions.mjs
12:02:57 [32mGET[39m /translations/en.json
12:12:07 [33mPOST[39m /user/login
12:12:07 [32mGET[39m /user/avatar
12:12:10 [32mGET[39m /user/users
####################
Server enviorment local
Database connection  local
####################
13:17:31 GET /
13:17:31 GET /styles.css
13:17:31 GET /script/clientEvents.mjs
13:17:31 GET /script/admin.mjs
13:17:31 GET /media/england.png
13:17:31 GET /media/norway.png
13:17:31 GET /media/spain.png
13:17:31 GET /script/clientRequests.mjs
13:17:31 GET /script/functions.mjs
13:17:32 GET /user/avatar
13:17:32 GET /translations/en.json
13:17:35 GET /user/users
13:17:49 PUT /user/users/update
####################
Server enviorment local
Database connection  local
####################
13:18:42 GET /
13:18:42 GET /styles.css
13:18:42 GET /script/clientEvents.mjs
13:18:42 GET /script/admin.mjs
13:18:42 GET /media/england.png
13:18:42 GET /media/norway.png
13:18:42 GET /media/spain.png
13:18:42 GET /script/clientRequests.mjs
13:18:42 GET /script/functions.mjs
13:18:42 GET /user/avatar
13:18:42 GET /translations/en.json
13:18:45 GET /user/users
13:18:51 PUT /user/users/update
####################
Server enviorment local
Database connection  local
####################
13:19:38 GET /
13:19:38 GET /styles.css
13:19:38 GET /script/clientEvents.mjs
13:19:38 GET /script/admin.mjs
13:19:38 GET /media/england.png
13:19:38 GET /media/norway.png
13:19:38 GET /media/spain.png
13:19:38 GET /script/clientRequests.mjs
13:19:38 GET /script/functions.mjs
13:19:39 GET /user/avatar
13:19:39 GET /translations/en.json
13:19:43 GET /styles.css
13:19:45 GET /user/users
13:19:57 PUT /user/users/update
13:20:12 GET /
13:20:12 GET /styles.css
13:20:12 GET /script/admin.mjs
13:20:12 GET /script/clientEvents.mjs
13:20:12 GET /media/england.png
13:20:12 GET /media/norway.png
13:20:12 GET /media/spain.png
13:20:12 GET /script/functions.mjs
13:20:12 GET /script/clientRequests.mjs
13:20:12 GET /user/avatar
13:20:12 GET /translations/en.json
13:20:14 GET /user/users
13:20:25 PUT /user/users/update
####################
Server enviorment local
Database connection  local
####################
13:21:08 GET /
13:21:08 GET /styles.css
13:21:08 GET /script/clientEvents.mjs
13:21:08 GET /script/admin.mjs
13:21:08 GET /media/england.png
13:21:08 GET /media/norway.png
13:21:08 GET /media/spain.png
13:21:08 GET /script/clientRequests.mjs
13:21:08 GET /script/functions.mjs
13:21:09 GET /user/avatar
13:21:09 GET /translations/en.json
13:21:16 PUT /user/users/update
13:21:25 GET /user/users
13:21:46 PUT /user/users/update
13:21:49 GET /user/users
13:22:03 PUT /user/users/update
13:22:13 GET /user/users
13:22:21 PUT /user/users/update
13:22:29 PUT /user/users/update
13:22:32 GET /user/users
13:22:41 DELETE /user/users/51
13:23:09 GET /
13:23:09 GET /styles.css
13:23:09 GET /script/clientEvents.mjs
13:23:09 GET /script/admin.mjs
13:23:09 GET /media/england.png
13:23:09 GET /media/norway.png
13:23:09 GET /media/spain.png
13:23:09 GET /script/clientRequests.mjs
13:23:09 GET /script/functions.mjs
13:23:09 GET /user/avatar
13:23:09 GET /translations/en.json
